------------header-------------2019-11-28 22:10:22,737 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:22,916 [11] INFO  MvcApplication - Session_Start
2019-11-28 22:10:27,837 [12] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:27,949 [13] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:27,949 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:27,958 [14] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:27,961 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:10:29,508 [12] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:11:11,479 [12] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:11:11,646 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:11:13,633 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:11:13,713 [13] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
------------header-------------2019-11-28 22:11:27,386 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:11:27,469 [10] INFO  MvcApplication - Session_Start
------------header-------------2019-11-28 22:14:07,896 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:14:07,989 [10] INFO  MvcApplication - Session_Start
2019-11-28 22:14:11,697 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:14:16,458 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:14:18,736 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:14:20,155 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:14:22,992 [12] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
------------header-------------2019-11-28 22:40:20,420 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:40:20,507 [10] INFO  MvcApplication - Session_Start
2019-11-28 22:40:28,092 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
------------header-------------2019-11-28 22:41:07,521 [10] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
2019-11-28 22:41:07,682 [10] INFO  MvcApplication - Session_Start
2019-11-28 22:41:15,761 [11] INFO  MvcApplication - GlobalModule_GlobalModuleEvent
